"id_service","ctrldate"
"5270.2769149",2023-05-03
"5270.2769108",2023-05-03
"5270.2769713",2023-05-03
"5270.2769447",2023-05-03
"5270.2769201",2023-05-03
"5270.2769602",2023-05-03
"5270.2769334",2023-05-03
"5270.2769123",2023-05-03
"5270.2769119",2023-05-03
"5270.2769540",2023-05-03
"5270.2769109",2023-05-03
"5270.2769601",2023-05-03
"5270.2769521",2023-05-03
"5270.2769187",2023-05-03
"5270.2769333",2023-05-03
"5270.2769463",2023-05-03
"5270.2769509",2023-05-03
"5270.2769501",2023-05-03
"5270.2769436",2023-05-03
"5270.2769247",2023-05-03
"5270.2769275",2023-05-03
"5270.2769270",2023-05-03
"5270.2769153",2023-05-03
"5270.2769659",2023-05-03
"5270.2769600",2023-05-03
"5270.2769592",2023-05-03
"5270.2769677",2023-05-03
"5270.2769202",2023-05-03
"5270.2769491",2023-05-03
"5270.2769667",2023-05-03
"5270.2769676",2023-05-03
"5270.2769207",2023-05-03
"5270.2769405",2023-05-03
"5270.2769152",2023-05-03
"5270.2769419",2023-05-03
"5270.2769347",2023-05-03
"5270.2769581",2023-05-03
"5270.2769143",2023-05-03
"5270.2769647",2023-05-03
"5270.2769251",2023-05-03
"5270.2769562",2023-05-03
"5270.2769483",2023-05-03
"5270.2769261",2023-05-03
"5270.2769408",2023-05-03
"5270.2769339",2023-05-03
"5270.2769312",2023-05-03
"5270.2769451",2023-05-03
"5270.2769513",2023-05-03
"5270.2769198",2023-05-03
"5270.2769360",2023-05-03
"5270.2769130",2023-05-03
"5270.2769386",2023-05-03
"5270.2769233",2023-05-03
"5270.2769125",2023-05-03
"5270.2769256",2023-05-03
"5270.2769619",2023-05-03
"5270.2769482",2023-05-03
"5270.2769315",2023-05-03
"5270.2769613",2023-05-03
"5270.2769124",2023-05-03
"5270.2769582",2023-05-03
"5270.2769437",2023-05-03
"5270.2769512",2023-05-03
"5270.2769444",2023-05-03
"5270.2769651",2023-05-03
"5270.2769221",2023-05-03
"5270.2769389",2023-05-03
"5270.2769121",2023-05-03
"5270.2769458",2023-05-03
"5270.2769276",2023-05-03
"5270.2769226",2023-05-03
"5270.2769171",2023-05-03
"5270.2769284",2023-05-03
"5270.2769327",2023-05-03
"5270.2769280",2023-05-03
"5270.2769286",2023-05-03
"5270.2769228",2023-05-03
"5270.2769457",2023-05-03
"5270.2769396",2023-05-03
"5270.2769296",2023-05-03
"5270.2769668",2023-05-03
"5270.2769115",2023-05-03
"5270.2769205",2023-05-03
"5270.2769490",2023-05-03
"5270.2769631",2023-05-03
"5270.2769498",2023-05-03
"5270.2769670",2023-05-03
"5270.2769113",2023-05-03
"5270.2769217",2023-05-03
"5270.2769170",2023-05-03
"5270.2769291",2023-05-03
"5270.2769128",2023-05-03
"5270.2769213",2023-05-03
"5270.2769344",2023-05-03
