id_service,case_ump
5520.5512519,3
5520.5512495,3
5520.5512496,3
5520.5512539,3
5520.5512638,3
5520.5512451,3
5520.5512645,3
5520.5512643,3
5520.5512549,3
5520.5512454,3
5520.5512508,3
5520.5512453,3
5520.5512526,3
5520.5512506,3
5520.5512528,3
5520.5512575,3
5520.5512563,3
5520.5512521,3
5520.5512524,3
5520.5512491,3
5520.5512592,3
5520.5512485,3
5520.5512490,3
5520.5512565,3
5520.5512609,3
5520.5512520,3
5520.5512611,3
5520.5512450,3
5520.5512455,3
5520.5512663,3
5520.5512662,3
5520.5512678,3
5520.5512658,3
5520.5512679,3
5520.5512652,3
5520.5512670,3
5520.5512673,3
5520.5512666,3
5520.5512659,3
5520.5512674,3
5520.5512656,3
5520.5512654,3
5520.5512677,3
5520.5512655,3
5520.5512676,3
5520.5512664,3
5520.5512667,3
5520.5512675,3
5520.5512672,3
5520.5512650,3
5520.5512671,3
5520.5512653,3
5520.5512657,3
5520.5512629,3
5520.5512585,3
5520.5512542,3
5520.5512558,3
5520.5512620,3
5520.5512583,3
5520.5512631,3
5520.5512541,3
5520.5512559,3
5520.5512477,3
5520.5512478,3
5520.5512599,3
5520.5512600,3
5520.5512447,3
7570.42784,2
7570.42782,2
7570.42774,2
7570.42781,2
7570.42778,2
7570.42777,2
7570.42785,2
7570.42776,2
7570.42792,2
7570.42790,2
7570.42791,2
7570.42779,2
7570.42789,2
5270.2769703,3
5270.2769627,3
5270.2769576,3
5270.2769537,3
5270.2769699,3
5270.2769496,3
5270.2769515,3
5270.2769506,3
5270.2769608,3
5270.2769556,3
5270.2769487,3
5270.2769588,3
5270.2769508,3
5270.2769546,3
5270.2769702,3
5270.2769478,3
5270.2769477,3
5270.2769628,3
5270.2769538,3
5270.2769518,3
5270.2769484,3
5270.2769565,3
5270.2769567,3
5270.2769517,3
5270.2769700,3
5270.2769710,3
5270.2769464,3
5270.2769527,3
5270.2769594,3
5270.2769526,3
5270.2769516,3
5270.2769568,3
5270.2769616,3
5270.2769595,3
5270.2769618,3
5270.2769514,3
5270.2769467,3
5270.2769507,3
5270.2769587,3
5270.2769584,3
5270.2769575,3
5270.2769536,3
5270.2769578,3
5270.2769698,3
5270.2769604,3
5270.2769485,3
5270.2769535,3
5270.2769504,3
5270.2768661,3
5410.5319783,3
5410.5319861,3
5410.5319807,3
5410.5319839,3
5410.5319774,3
5410.5319828,3
5410.5319875,4
5410.5319904,4
5410.5319906,4
5410.5319918,4
5410.5319887,4
5410.5319866,4
5410.5319868,4
5410.5319895,4
5410.5319916,4
5270.2769952,3
5270.2769795,3
5270.2770231,3
5270.2770204,3
5270.2769890,3
5270.2770035,3
5270.2770199,3
5270.2769964,3
5270.2769873,3
5270.2769876,3
5270.2769813,3
5270.2769979,3
5270.2769897,3
5270.2769863,3
5270.2770038,3
5270.2769751,3
5270.2770083,3
5270.2769910,3
5270.2769811,3
5270.2769818,3
5270.2769856,3
5270.2769989,3
5270.2770091,3
5270.2769799,3
5270.2770152,3
5270.2769798,3
5270.2769951,3
5270.2770005,3
5270.2770106,3
5270.2769817,3
5270.2769849,3
5270.2769909,3
5270.2769810,3
5270.2769836,3
5270.2770175,3
5270.2770220,3
5270.2769948,3
5270.2769803,3
5270.2769842,3
5270.2770044,3
5270.2769898,3
5270.2769942,3
5270.2769938,3
5270.2770027,3
5270.2769991,3
5270.2770129,3
5270.2770133,3
5270.2770200,3
5270.2770022,3
5270.2769957,3
5270.2769893,3
5270.2769974,3
5270.2769983,3
5270.2769916,3
5270.2770151,3
5270.2770174,3
5270.2770236,3
5270.2770109,3
5270.2769816,3
5270.2769882,3
5270.2769753,3
5270.2770095,3
5270.2770030,3
5270.2769869,3
5270.2770051,3
5270.2770052,3
5270.2770019,3
5270.2770196,3
5270.2769774,3
5270.2769778,3
5270.2770206,3
5270.2769784,3
5270.2770131,3
5270.2769830,3
5270.2769809,3
5270.2770102,3
5270.2769754,3
5270.2769900,3
5270.2769752,3
5270.2770084,3
5270.2769750,3
5270.2770020,3
5270.2770031,3
5270.2770141,3
